SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
A000;;;;Cólera devida a Vibrio cholerae 01, biótipo cholerae;A00.0 Colera dev Vibrio cholerae 01 biot cholerae;;;
A001;;;;Cólera devida a Vibrio cholerae 01, biótipo El Tor;A00.1 Colera dev Vibrio cholerae 01 biot El Tor;;;
A009;;;;Cólera não especificada;A00.9 Colera NE;;;
A010;;;;Febre tifóide;A01.0 Febre tifoide;;;
A011;;;;Febre paratifóide A;A01.1 Febre paratifoide A;;;
A012;;;;Febre paratifóide B;A01.2 Febre paratifoide B;;;
A013;;;;Febre paratifóide C;A01.3 Febre paratifoide C;;;
A014;;;;Febre paratifóide não especificada;A01.4 Febre paratifoide NE;;;
A020;;;;Enterite por salmonela;A02.0 Enterite p/salmonela;;;
A021;;;;Septicemia por salmonela;A02.1 Septicemia p/salmonela;;;
A022;;;;Infecções localizadas por salmonela;A02.2 Infecc localizadas p/salmonela;;;
A028;;;;Outras infecções especificadas por salmonela;A02.8 Outr infecc espec p/salmonela;;;
A029;;;;Infecção não especificada por salmonela;A02.9 Infecc NE p/salmonela;;;
A030;;;;Shiguelose devida a Shigella dysenteriae;A03.0 Shiguelose dev Shigella dysenteriae;;;
A031;;;;Shiguelose devida a Shigella flexneri;A03.1 Shiguelose dev Shigella flexneri;;;
A032;;;;Shiguelose devida a Shigella boydii;A03.2 Shiguelose dev Shigella boydii;;;
A033;;;;Shiguelose devida a Shigella sonnei;A03.3 Shiguelose dev Shigella sonnei;;;
A038;;;;Outras shigueloses;A03.8 Outr shigueloses;;;
A039;;;;Shiguelose não especificada;A03.9 Shiguelose NE;;;
A040;;;;Infecção por Escherichia coli enteropatogênica;A04.0 Infecc p/Escherichia coli enteropatogenica;;;
A041;;;;Infecção por Escherichia coli enterotoxigênica;A04.1 Infecc p/Escherichia coli enterotoxigenica;;;
A042;;;;Infecção por Escherichia coli enteroinvasiva;A04.2 Infecc p/Escherichia coli enteroinvasiva;;;
A043;;;;Infecção por Escherichia coli enterohemorrágica;A04.3 Infecc p/Escherichia coli enterohemorragica;;;
A044;;;;Outras infecções intestinais por Escherichia coli;A04.4 Outr infecc intestinais p/Escherichia coli;;;
A045;;;;Enterite por Campylobacter;A04.5 Enterite p/Campylobacter;;;
A046;;;;Enterite devida a Yersinia enterocolítica;A04.6 Enterite dev Yersinia enterocolitica;;;
A047;;;;Enterocolite devida a Clostridium difficile;A04.7 Enterocolite dev Clostridium difficile;;;
A048;;;;Outras infecções bacterianas intestinais especificadas;A04.8 Outr infecc bacter intestinais espec;;;
A049;;;;Infecção intestinal bacteriana não especificada;A04.9 Infecc intestinal bacter NE;;;
A050;;;;Intoxicação alimentar estafilocócica;A05.0 Intox alimentar estafilococica;;;
A051;;;;Botulismo;A05.1 Botulismo;;;
A052;;;;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];A05.2 Intox alimentar dev Clostridium perfringens;;;
A053;;;;Intoxicação alimentar devida a Vibrio parahemolyticus;A05.3 Intox alimentar dev Vibrio parahemolyticus;;;
A054;;;;Intoxicação alimentar devida a Bacillus cereus;A05.4 Intox alimentar dev Bacillus cereus;;;
A058;;;;Outras intoxicações alimentares bacterianas especificadas;A05.8 Outr intox alimentares bacter espec;;;
A059;;;;Intoxicação alimentar bacteriana não especificada;A05.9 Intox alimentar bacter NE;;;
A060;;;;Disenteria amebiana aguda;A06.0 Disenteria amebiana aguda;;;
A061;;;;Amebíase intestinal crônica;A06.1 Amebiase intestinal cronica;;;
A062;;;;Colite amebiana não-disentérica;A06.2 Colite amebiana nao-disenterica;;;
A063;;;;Ameboma intestinal;A06.3 Ameboma intestinal;;;
A064;;;;Abscesso amebiano do fígado;A06.4 Abscesso amebiano do figado;;;
A065;+;;;Abscesso amebiano do pulmão;A06.5 Abscesso amebiano do pulmao;J99.8*;;
A066;+;;;Abscesso amebiano do cérebro;A06.6 Abscesso amebiano do cerebro;G07*;;
A067;;;;Amebíase cutânea;A06.7 Amebiase cutanea;;;
A068;;;;Infecção amebiana de outras localizações;A06.8 Infecc amebiana de outr localiz;;;
A069;;;;Amebíase não especificada;A06.9 Amebiase NE;;;
A070;;;;Balantidíase;A07.0 Balantidiase;;;
A071;;;;Giardíase [lamblíase];A07.1 Giardiase;;;
